# Baseline generated: 2026-09-25
# Command: go test ./iter -run '^$' -bench . -benchmem -benchtime=5s -count=5 -timeout=30m
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/iter
cpu: Apple M4 Pro
BenchmarkMapMap/workers=1-12                   	   85753	     70314 ns/op	   19824 B/op	     412 allocs/op
BenchmarkMapMap/workers=12-12                  	  113992	     53047 ns/op	   19913 B/op	     412 allocs/op
BenchmarkMapMap/workers=12-12                  	  113278	     52927 ns/op	   19913 B/op	     412 allocs/op
BenchmarkMapMap/workers=12-12                  	  114076	     52996 ns/op	   19913 B/op	     412 allocs/op
BenchmarkMapMap/workers=12-12                  	  114002	     53291 ns/op	   19913 B/op	     412 allocs/op
BenchmarkMapMap/workers=12-12                  	  114034	     52805 ns/op	   19913 B/op	     412 allocs/op
BenchmarkMapMap/workers=24-12                  	  115869	     52032 ns/op	   20010 B/op	     412 allocs/op
BenchmarkMapMap/workers=24-12                  	  115377	     51904 ns/op	   20009 B/op	     412 allocs/op
BenchmarkMapMap/workers=24-12                  	  116539	     51897 ns/op	   20010 B/op	     412 allocs/op
BenchmarkMapMap/workers=24-12                  	  110718	     52377 ns/op	   20009 B/op	     412 allocs/op
BenchmarkMapMap/workers=24-12                  	  115609	     51976 ns/op	   20009 B/op	     412 allocs/op
BenchmarkForEachMap/workers=1-12               	  196032	     30666 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=1-12               	  194319	     30699 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=1-12               	  195738	     30650 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=1-12               	  196624	     30577 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=1-12               	  195453	     30640 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=12-12              	  145298	     41111 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=12-12              	  143115	     41275 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=12-12              	  144964	     41168 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=12-12              	  146259	     41451 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=12-12              	  144584	     41153 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=24-12              	  143370	     42362 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=24-12              	  141933	     42314 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=24-12              	  143406	     42168 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=24-12              	  141906	     42768 ns/op	    7616 B/op	     210 allocs/op
BenchmarkForEachMap/workers=24-12              	  143062	     42360 ns/op	    7616 B/op	     210 allocs/op
PASS
